Baseline 100%T,,Volume dithionite-0,,Volume dithionite-1,,Volume dithionite-2,,Volume dithionite-3,,Volume dithionite-4,,Volume dithionite-5,,Volume dithionite-6,,Volume dithionite-7,,Volume dithionite-8,,Volume dithionite-9,,Volume dithionite-10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
768.0162964,0.01846661419,768.0162964,0.03821005672,768.0162964,0.03712131828,768.0162964,0.04110804945,768.0162964,0.04141192138,768.0162964,0.04085830599,768.0162964,0.04081945866,768.0162964,0.03866159543,768.0162964,0.04337440431,768.0162964,0.04173210636,768.0162964,0.04098402709,768.0162964,0.04533760622,
766.9942627,0.01895867102,766.9942627,0.03623703867,766.9942627,0.03566333652,766.9942627,0.03952245042,766.9942627,0.04193074629,766.9942627,0.0399553515,766.9942627,0.04129467532,766.9942627,0.03744112328,766.9942627,0.04459456727,766.9942627,0.04298098013,766.9942627,0.04066757485,766.9942627,0.0436206758,
766.0070801,0.01838191785,766.0070801,0.03729030117,766.0070801,0.03695403785,766.0070801,0.04212211818,766.0070801,0.0424852185,766.0070801,0.03992163762,766.0070801,0.04208258912,766.0070801,0.03862011805,766.0070801,0.04436153173,766.0070801,0.04268411919,766.0070801,0.04073441401,766.0070801,0.04435333237,
764.984314,0.01740650833,764.984314,0.0377487354,764.984314,0.03840932623,764.984314,0.04103028402,764.984314,0.04226780683,764.984314,0.04095171019,764.984314,0.04291211069,764.984314,0.03975573927,764.984314,0.04607405886,764.984314,0.0443020165,764.984314,0.04233945906,764.984314,0.04556383193,
763.99646,0.01751871966,763.99646,0.0379511565,763.99646,0.03743364289,763.99646,0.04257483408,763.99646,0.04230624065,763.99646,0.04284976423,763.99646,0.04143928736,763.99646,0.03850879893,763.99646,0.04452323169,763.99646,0.04422230273,763.99646,0.04124334827,763.99646,0.04540769383,
763.0081787,0.01806609891,763.0081787,0.03746265173,763.0081787,0.03710132837,763.0081787,0.04140204191,763.0081787,0.04319191352,763.0081787,0.04020497203,763.0081787,0.04193442687,763.0081787,0.03818846121,763.0081787,0.04531398416,763.0081787,0.04448767006,763.0081787,0.04074814543,763.0081787,0.04376007989,
761.9842529,0.01846094243,761.9842529,0.03747718409,761.9842529,0.0375812985,761.9842529,0.04119797796,761.9842529,0.04276263341,761.9842529,0.04089940339,761.9842529,0.04075636342,761.9842529,0.03884420171,761.9842529,0.0435060896,761.9842529,0.04278591648,761.9842529,0.04069776461,761.9842529,0.04488834366,
760.9952393,0.01676290296,760.9952393,0.03773351759,760.9952393,0.03851866722,760.9952393,0.04262546077,760.9952393,0.04397847131,760.9952393,0.04186446592,760.9952393,0.04294445738,760.9952393,0.04067684337,760.9952393,0.04692436755,760.9952393,0.04618031159,760.9952393,0.04433360696,760.9952393,0.04663837329,
760.0058594,0.01726385951,760.0058594,0.03916876018,760.0058594,0.03788734227,760.0058594,0.04273881391,760.0058594,0.04423823953,760.0058594,0.04273812845,760.0058594,0.04243032634,760.0058594,0.03949367628,760.0058594,0.04574852809,760.0058594,0.04351149872,760.0058594,0.04237801209,760.0058594,0.04706253111,
759.0161743,0.01638580859,759.0161743,0.03905319422,759.0161743,0.03938697651,759.0161743,0.04259205237,759.0161743,0.04374559596,759.0161743,0.04183037579,759.0161743,0.04335689917,759.0161743,0.0408914946,759.0161743,0.04703593254,759.0161743,0.04451101273,759.0161743,0.04511786997,759.0161743,0.04706420377,
